	act	scene	speaking	text	player king	king	danes	reynaldo	queen	laertes	polonius	gentleman	second clown	hamlet	voltemand	servant	francisco	messenger	lord	barnardo	osric	marcellus	guildenstern	prologue	priest	fortinbras	ophelia	captain	rosencrantz	lucianus	ghost	horatio	first clown	player queen	player
0	1	1	barnardo	" Who’s there?
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	francisco	" Nay, answer me. Stand and unfold yourself.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	barnardo	" Long live the King!
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	francisco	" Barnardo?
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	1	barnardo	" He.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	1	francisco	" You come most carefully upon your hour.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	1	barnardo	" ’Tis now struck twelve. Get thee to bed, Francisco.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	1	francisco	" For this relief much thanks. ’Tis bitter cold, And I am sick
at heart.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	1	barnardo	" Have you had quiet guard?
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	1	francisco	" Not a mouse stirring.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	1	barnardo	" Well, good night. If you do meet Horatio and Marcellus, The
rivals of my watch, bid them make haste.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	1	francisco	" I think I hear them. Stand, ho! Who is there?
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
12	1	1	horatio	" Friends to this ground.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
13	1	1	marcellus	" And liegemen to the Dane.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
14	1	1	francisco	" Give you good night.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
15	1	1	marcellus	" O, farewell, honest soldier, who hath reliev’d you?
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
16	1	1	francisco	" Barnardo has my place. Give you good-night.
"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
17	1	1	marcellus	" Holla, Barnardo!
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
18	1	1	barnardo	" Say, what, is Horatio there?
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
19	1	1	horatio	" A piece of him.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
20	1	1	barnardo	" Welcome, Horatio. Welcome, good Marcellus.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
21	1	1	marcellus	" What, has this thing appear’d again tonight?
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
22	1	1	barnardo	" I have seen nothing.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
23	1	1	marcellus	" Horatio says ’tis but our fantasy, And will not let belief
take hold of him Touching this dreaded sight, twice seen of us.
Therefore I have entreated him along With us to watch the minutes of
this night, That if again this apparition come He may approve our eyes
and speak to it.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
24	1	1	horatio	" Tush, tush, ’twill not appear.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
25	1	1	barnardo	" Sit down awhile, And let us once again assail your ears, That
are so fortified against our story, What we two nights have seen.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
26	1	1	horatio	" Well, sit we down, And let us hear Barnardo speak of this.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
27	1	1	barnardo	" Last night of all, When yond same star that’s westward from
the pole, Had made his course t’illume that part of heaven Where now it
burns, Marcellus and myself, The bell then beating one—
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
28	1	1	marcellus	" Peace, break thee off. Look where it comes again.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
29	1	1	barnardo	" In the same figure, like the King that’s dead.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
30	1	1	marcellus	" Thou art a scholar; speak to it, Horatio.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
31	1	1	barnardo	" Looks it not like the King? Mark it, Horatio.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
32	1	1	horatio	" Most like. It harrows me with fear and wonder.
BARNARDO It would be spoke to.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
33	1	1	marcellus	" Question it, Horatio.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
34	1	1	horatio	" What art thou that usurp’st this time of night, Together with
that fair and warlike form In which the majesty of buried Denmark Did
sometimes march? By heaven I charge thee speak.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
35	1	1	marcellus	" It is offended.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
36	1	1	barnardo	" See, it stalks away.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
37	1	1	horatio	" Stay! speak, speak! I charge thee speak!
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
38	1	1	marcellus	" ’Tis gone, and will not answer.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
39	1	1	barnardo	" How now, Horatio! You tremble and look pale. Is not this
something more than fantasy? What think you on’t?
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
40	1	1	horatio	" Before my God, I might not this believe Without the sensible
and true avouch Of mine own eyes.
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
