	chapitre	livre	text	Berbedienne	Bérangère	Cenaine	Charmolue	Châteaupers	Claude Frollo	Coictier	Colombe	Coppenole	Cousin	Djali	Duc	Esmeralda	Esouteville	Falourdel	Fleur-de-Lys	Gondelaurier	Gringoire	Hoctement	Jehan Frollo	Louis XI	Olivier	Paquette	Quasimodo	Torterue	Tristan	Trouillefou
0	1	1	le grand'salle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	il y avoir aujourd'hui trois cent quarante huit an six mois et dix-neuf jour que le parisien se éveiller au bruit de tout le cloche sonner à grand volée dans le triple enceinte de le cité de le université et de le ville	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	ce n être cependant pas un jour dont le histoire avoir garder souvenir que le janvier rien de notable dans le événement qui mettre ainsi en branle dès le matin le cloche et le bourgeois de paris ce n être ni un assaut de picard ou de bourguignons ni un châsse mener en procession ni un révolte de écolier dans le vigne de laas ni un entrée de notre dit très redouter seigneur monsieur le roi ni même un bel pendaison de larron et de larron à le justice de paris ce n être pas non plus le survenue si fréquent au quinzième siècle de quelque ambassade chamarrer et empanaché il y avoir à peine deux jour que le dernier cavalcade de ce genre celui de ambassadeur flamand chargé de conclure le mariage entre le dauphin et marguerite de flandre avoir faire son entrée à paris au grand ennui de m le cardinal de bourbon qui pour plaire au roi avoir devoir faire bon mine à tout ce rustique cohue de bourgmestre flamand et le régaler en son hôtel de bourbon de un moult bel moralité sotie et farce tandis que un pluie battant inonder à son porte son magnifique tapisserie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	le janvier ce qui mettoit en émotion tout le populaire de paris comme dire jehan de troyes ce être le double solennité réunir depuis un temps immémorial de jour de roi et de le fête de fou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4	1	1	ce jour là il devoir y avoir feu de joie à le grève plantation de mai à le chapelle de braque et mystère au palais de justice le cri en avoir être faire le veille à son de trompe dans le carrefour par le gens de m le prévôt en beal hoqueton de camelot violet avec de grand croix blanc sur le poitrine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	1	le foule de bourgeois et de bourgeoise se acheminer donc de tout part dès le matin maison et boutique fermer vers le un de trois endroit désigner chacun avoir prendre parti qui pour le feu de joie qui pour le mai qui pour le mystère il falloir dire à le éloge de le antique bon sens de badaud de paris que le plus grand partie de ce foule se diriger vers le feu de joie lequel être tout à fait de saison ou vers le mystère qui devoir être représenter dans le grand-salle de palais bien couvrir et bien clore et que le curieux se accorder à laisser le pauvre mai mal fleuri grelotter tout seul sous le ciel de janvier dans le cimetière de le chapelle de braque	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	1	le peuple affluer surtout dans le avenue de palais de justice parce qu on savoir que le ambassadeur flamand arriver de le surveille se proposer de assister à le représentation de mystère et à le élection de pape de fou lequel devoir se faire également dans le grand-salle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	1	ce n être pas chose aisé de pénétrer ce jour là dans ce grand-salle réputer cependant alors le plus grand enceint couverte qui être au monde il être vrai que sauval n avoir pas encore mesurer le grand salle de château de montargis le place de palais encombrer de peuple offrir à curieux de fenêtre le aspect de un mer dans lequel cinq ou six rue comme autant de embouchure de fleuve dégorgeaient à chaque instant de nouveau flot de tête le onde de ce foule sans cesse grossies se heurter à angle de maison qui se avancer çà et là comme autant de promontoire dans le bassin irrégulier de le place au centre de le haut façade gothique de palais le grand escalier sans relâche remonter et descendre par un double courant qui après se être briser sous le perron intermédiaire se épandre à larges vague sur son deux pente latéral le grand escalier dire je ruisseler incessamment dans le place comme un cascade dans un lac le cri le rire le trépignement de ce mille pied faire un grand bruit et un grand clameur de temps en temps ce clameur et ce bruit redoubler le courant qui pousser tout ce foule vers le grand escalier rebrousser se troubler tourbillonner ce être un bourrade de un archer ou le cheval de un sergent de le prévôté qui ruer pour rétablir le ordre admirable tradition que le prévôté avoir léguer à le connétablie le connétablie à le maréchaussée et le maréchaussée à notre gendarmerie de paris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	1	à porte à fenêtre à lucarne sur le toit fourmiller un millier de bon figure bourgeois calme et honnête regarder le palais regarder le cohue et n en demander pas davantage car bien de gens à paris se contenter de spectacle de spectateur et ce être déjà pour nous un chose très curieux que un muraille derrière lequel il se passer quelque chose	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	1	s il pouvoir nous être donner à nous homme de de nous mêler en pensée à ce parisien de quinzième siècle et de entrer avec lui tiraillé coudoyés culbuter dans ce immense salle de palais si étroite le janvier le spectacle ne être ni sans intérêt ni sans charme et nous n avoir autour de nous que un chose si vieux que lui nous sembler tout neuf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
