	act	scene	speaking	text	first musician	second musician	servant	lady montague	montague	benvolio	first servant	page	chorus	juliet	balthasar	third musician	capulet	third watch	friar lawrence	peter	sampson	first watch	tybalt	first citizen	second watch	friar john	mercutio	romeo	lady capulet	paris	nurse	prince	apothecary	gregory	second servant	capulet’s cousin	abram
0	1	1	sampson	gregory on my word we ll not carry coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	1	1	gregory	no for then we should be collier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2	1	1	sampson	i mean if we be in choler we ll draw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	1	1	gregory	ay while you live draw your neck out o the collar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	1	1	sampson	i strike quickly be move	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	1	1	gregory	but thou art not quickly move to strike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	1	1	sampson	a dog of the house of montague move i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	1	1	gregory	to move be to stir and to be valiant be to stand therefore if thouart move thou runn st away	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8	1	1	sampson	a dog of that house shall move i to stand i will take the wall of any man or maid of montague s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9	1	1	gregory	that show thee a weak slave for the weak go to the wall	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10	1	1	sampson	true and therefore woman be the weak vessel be ever thrust tothe wall therefore i will push montague s man from the wall andthrust his maid to the wall	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
11	1	1	gregory	the quarrel be between our master and we their man	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
12	1	1	sampson	tis all one i will show myself a tyrant when i have fight with theman i will be civil with the maid i will cut off their head	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
13	1	1	gregory	the head of the maid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14	1	1	sampson	ay the head of the maid or their maidenhead take it in what sensethou wilt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
15	1	1	gregory	they must take it in sense that feel it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
16	1	1	sampson	i they shall feel while i be able to stand and tis know i be apretty piece of flesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
17	1	1	gregory	tis well thou art not fish if thou hadst thou hadst be poor john draw thy tool here come of the house of montagues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
18	1	1	sampson	my naked weapon be out quarrel i will back thee	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
19	1	1	gregory	how turn thy back and run	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
20	1	1	sampson	fear i not	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
21	1	1	gregory	no marry i fear thee	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
22	1	1	sampson	let we take the law of our side let they begin	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
23	1	1	gregory	i will frown as i pass by and let they take it as they list	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
24	1	1	sampson	nay as they dare i will bite my thumb at they which be disgrace tothem if they bear it	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
25	1	1	abram	do you bite your thumb at we sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
26	1	1	sampson	i do bite my thumb sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
27	1	1	abram	do you bite your thumb at we sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
28	1	1	sampson	be the law of our side if i say ay	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
29	1	1	gregory	no	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
30	1	1	sampson	no sir i do not bite my thumb at you sir but i bite my thumb sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
31	1	1	gregory	do you quarrel sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
32	1	1	abram	quarrel sir no sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
33	1	1	sampson	but if you do sir be for you i serve as good a man as you	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
34	1	1	abram	no well	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
35	1	1	sampson	well sir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
36	1	1	gregory	say well here come one of my master s kinsmen	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
37	1	1	sampson	yes well sir	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
38	1	1	abram	you lie	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
39	1	1	sampson	draw if you be man gregory remember thy washing blow	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
40	1	1	benvolio	part fool put up your sword you know not what you do	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
41	1	1	tybalt	what art thou draw among these heartless hinds turn thee benvolio look upon thy death	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
42	1	1	benvolio	i do but keep the peace put up thy sword or manage it to part these man with i	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
43	1	1	tybalt	what draw and talk of peace i hate the wordas i hate hell all montagues and thee have at thee coward	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
44	1	1	first citizen	club bill and partisan strike beat they down down with the capulets down with the montagues	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1
45	1	1	capulet	what noise be this give i my long sword ho	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1
46	1	1	lady capulet	a crutch a crutch why call you for a sword	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1
47	1	1	capulet	my sword i say old montague be come and flourish his blade in spite of i	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1
48	1	1	montague	thou villain capulet hold i not let i go	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1
