,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,poupée (0.52),noce (0.49),mestienne (0.35),jondrette (0.61),fossoyeur (0.51),égout (0.41),arras (0.74),accusé (0.49),conventionnel (1.49),chandelier (0.19)
1,seau (0.5),mariage (0.38),noce (0.35),réchaud (0.53),mestienne (0.46),noce (0.4),roue (0.51),nier (0.29),évêque (0.73),deuil (0.15)
2,gargote (0.3),marié (0.36),corbillard (0.29),ursule (0.5),gervai (0.43),issue (0.36),malle (0.46),avocat (0.28),cathédrale (0.49),gendarme (0.15)
3,ravissant (0.29),amant (0.33),marié (0.26),luxembourg (0.46),chandelier (0.38),galerie (0.35),cabriolet (0.44),forçat (0.26),curé (0.44),panier (0.15)
4,auprès (0.27),mardi (0.29),babylone (0.24),bouge (0.41),matelas (0.34),couloir (0.34),accusé (0.44),preuve (0.26),hôpital (0.43),couvert (0.13)
5,infanterie (-0.33),mestienne (-0.45),seau (-0.22),sacrement (-0.35),infanterie (-0.46),mestienne (-0.38),fossoyeur (-0.18),mestienne (-0.2),cuirassier (-0.21),mestienne (-0.03)
6,cuirassier (-0.32),corbillard (-0.35),pelle (-0.18),wellington (-0.35),cuirassier (-0.44),fossoyeur (-0.34),mestienne (-0.18),roue (-0.19),infanterie (-0.2),fossoyeur (-0.03)
7,wellington (-0.29),fossoyeur (-0.32),poupée (-0.17),blücher (-0.35),wellington (-0.44),corbillard (-0.29),pensionnaire (-0.16),fossoyeur (-0.18),batterie (-0.17),cimetière (-0.02)
8,division (-0.28),cimetière (-0.3),portefeuille (-0.16),plateau (-0.35),blücher (-0.43),théodule (-0.26),corbillard (-0.15),malle (-0.17),wellington (-0.16),berge (-0.02)
9,blücher (-0.28),tableau (-0.22),gervai (-0.15),cuirassier (-0.35),brigade (-0.38),cimetière (-0.25),sacrement (-0.15),cabriolet (-0.16),brigade (-0.15),ronde (-0.02)
