,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,rêver (0.31),amour (0.4),jean (0.63),étreindre (0.38),jean (0.5),jean (0.42),saisir (0.39),saisir (0.36),évêque (0.66),évêque (0.54)
1,blottir (0.29),sincère (0.36),claude (0.35),embrasser (0.37),boutonner (0.31),boutonner (0.33),interpeller (0.38),interpeller (0.35),archevêque (0.6),archevêque (0.45)
2,aimer (0.29),bonheur (0.36),jacques (0.3),vouloir (0.36),porter (0.28),nouer (0.3),requérir (0.37),contester (0.34),diocèse (0.5),apôtre (0.4)
3,pleurer (0.27),désir (0.35),paul (0.29),avouer (0.36),déshabiller (0.27),ajuster (0.3),intervenir (0.35),condamner (0.34),ecclésiastique (0.49),abbé (0.4)
4,dormir (0.27),heureux (0.35),hélène (0.29),inquiéter (0.35),questionner (0.27),oser (0.3),agir (0.35),requérir (0.34),vicaire (0.49),prêtre (0.39)
5,armée (-0.39),muraille (-0.37),armée (-0.34),chapelle (-0.39),cavalerie (-0.33),paroisse (-0.34),jardin (-0.3),chaumière (-0.3),jambe (-0.32),pente (-0.28)
6,insurrection (-0.38),barricade (-0.37),insurrection (-0.33),église (-0.38),impérial (-0.32),évêché (-0.32),lilas (-0.29),terrasse (-0.29),nuque (-0.3),talus (-0.27)
7,assiégeant (-0.36),fosse (-0.36),hydre (-0.32),faubourg (-0.38),roi (-0.32),garnison (-0.32),maman (-0.29),repas (-0.28),hanche (-0.29),creusement (-0.27)
8,cavalerie (-0.36),talus (-0.36),attaque (-0.3),village (-0.38),empereur (-0.31),diocèse (-0.32),vin (-0.28),jardin (-0.28),fenêtre (-0.28),souricière (-0.25)
9,soulèvement (-0.36),glacière (-0.35),populace (-0.28),abbaye (-0.38),cheval (-0.31),province (-0.31),dragon (-0.28),vache (-0.28),coude (-0.27),mois (-0.24)
