aimer,rue,justice,guerre
Gillenormand-Mabeuf (1.15),Cosette-Gavroche (0.79),Babet-Javert (1.09),Combeferre-Fauchelevent (1.35)
Dahlia-Fameuil (1.12),Courfeyrac-Fauchelevent (0.79),Babet-Magnon (1.09),Enjolras-Fauchelevent (1.35)
Dahlia-Listolier (1.12),Eponine-Fauchelevent (0.79),Brujon-Claquesous (1.09),Feuilly-Javert (1.33)
Fameuil-Zéphine (1.12),Eponine-Gavroche (0.79),Brujon-Javert (1.09),Feuilly-Marius (1.33)
Listolier-Zéphine (1.12),Gavroche-Valjean (0.73),Brujon-Magnon (1.09),Feuilly-Valjean (1.33)
Bahorel-Javert (-0.54),Brevet-Chenildieu (-0.38),Dahlia-Fameuil (-0.46),Javert-Simplice (-0.6)
Babet-Grantaire (-0.45),Brevet-Cochepaille (-0.38),Dahlia-Listolier (-0.46),Myriel-Valjean (-0.56)
Brujon-Gavroche (-0.45),Champmathieu-Chenildieu (-0.38),Fameuil-Zéphine (-0.46),Magloire-Myriel (-0.53)
Brujon-Grantaire (-0.45),Champmathieu-Cochepaille (-0.38),Listolier-Zéphine (-0.46),Magloire-Valjean (-0.51)
Gavroche-Gueulemer (-0.45),Chenildieu (-0.38),Azelma-Eponine (-0.4),Baptistine-Magloire (-0.51)
