,Coord,Contrib,Cos²
answer,-0.23029379158077654,0.0007608308653567833,0.013492423128420871
art,0.3664720594610234,0.0017784566914754605,0.01839708548113737
away,0.06726117091052439,0.00010983274500183469,0.0024363106185670163
ay,-0.46581518091389795,0.006225595998792367,0.1534856679319597
bear,0.06691379083735771,5.435059017356924e-05,0.0009237032739484763
believe,-0.7055980778778294,0.008790530213866036,0.14425605047342593
better,-0.1514843535410535,0.0003545225804255567,0.006071276136047743
blood,0.2876172192488043,0.0010954468792287598,0.02501347504925139
body,-0.2521675807380983,0.000982396597587371,0.016425105511798585
bring,-0.0010442644686289924,1.3237134994888614e-08,1.1236972333320122e-07
brother,0.4173963284593132,0.0023070595535428676,0.04203022507843453
call,0.0040227767886912395,3.928754235370045e-07,5.261852589846886e-06
cannot,-0.5477680936421526,0.008277778146820194,0.10430994778928793
cause,-0.15364446342055957,0.0003647053851242289,0.004559324201098945
come,0.12129221037130283,0.001347485881760818,0.019725336833729616
comes,-0.3233553510779473,0.002307652498459402,0.058958478244921064
could,0.14618308735143445,0.0006602867786794904,0.01568459502184704
daughter,-0.6732843961774106,0.00750358261102564,0.06813036805756335
day,-0.18031772211575606,0.0006099666021690289,0.01056660918346636
dead,0.018582761066352996,9.526663043818504e-06,0.00010733167958495564
dear,-0.09209421595595832,0.00021526471869405005,0.0040473543938107665
death,0.4565410045232129,0.006440178751463052,0.08288474960898269
deed,0.6180974839528242,0.004637532293447138,0.0745827209822701
denmark,0.14915012055656843,0.0003927783218946304,0.00705788464644333
done,-0.06675540751485196,7.868160234946024e-05,0.0016103588127501687
dost,0.43601830922364426,0.0025175088690428636,0.06501205771679483
doth,0.3420023994585932,0.0023233311827714383,0.03119894268888269
drink,0.4227323098363552,0.002958029184645353,0.02990841816195769
ear,0.2838224869777616,0.001244520194833128,0.018788702671469402
earth,0.18146140015102208,0.0005813916739213388,0.01288132649761524
else,0.2565333545348866,0.0010167074977321952,0.015636654508469176
en,-0.4312751377851591,0.0028735396302906444,0.059476046240918734
end,-0.3345398949833294,0.0017290365677480359,0.044665450796069164
england,0.18224651351577892,0.000623085563573088,0.01004035649866934
enter,-0.05509359661058453,0.00012728175547514783,0.00224667584885997
er,0.12105718206614856,0.00033961020000288265,0.007561100290004592
even,0.013817994479033782,3.371245055590763e-06,9.468742158431746e-05
eye,0.335250504981304,0.0013643062753473602,0.02890952590295279
eyes,0.11145922430503039,0.00020563810912847987,0.005258889035527351
fair,0.27735752181104284,0.0015280329235022863,0.037389569595478116
father,0.3062033380413105,0.006207995624953201,0.09061621505059021
fear,0.12894079126658117,0.0002935492363072594,0.0019801952447224616
find,-0.16200968840677785,0.00046342799606575346,0.0061193853222126435
follow,0.41472080814852796,0.003795962891036528,0.06819449273876745
form,-0.5431036746295157,0.0039059532298282404,0.08590880516437589
free,0.36110184062474826,0.0015828231722458887,0.025171470097932674
friends,0.4080063612761737,0.002204425493209807,0.033646971388052234
gertrude,0.6677261274729169,0.005904162423482766,0.05337953187978664
give,0.424097602309082,0.009129978947970425,0.11748103504645802
go,-0.05005352713271943,0.00014929437425741565,0.002559843443434338
god,0.05067212376497585,7.650367325555212e-05,0.0010429024480706625
goes,-0.11745025291168174,0.00016744836369188336,0.002325961808159878
gone,-0.30562727125760947,0.0012369318263430026,0.006086507052198953
good,-0.4003243014899002,0.015032220756339306,0.16580279010740084
grace,0.19265558034068672,0.0005324598292693488,0.016049438390397422
grave,0.5515787334460187,0.00402880811094166,0.06174126615406781
great,-0.0702748734343713,0.00010354617373796179,0.0020470019039847704
guildenstern,-0.20495862622461322,0.0006489941002381945,0.004625142062096838
hamlet,0.26307719612971836,0.005728065594457768,0.03449834733388472
hand,0.4653699400570846,0.002867861743457949,0.03600797982067866
hast,0.866869621291489,0.009121800355913324,0.1365046265265148
hath,-0.12365798020960596,0.0009112097691610371,0.017373392052743557
head,-0.5114958096631049,0.005485523393935791,0.053253848762170194
hear,0.35414533763287415,0.002768046382928098,0.04119545523009221
heart,0.36614442610034664,0.0038464360158148667,0.13585961060179955
heaven,0.331381576399368,0.0038778142985122794,0.0657292904129135
help,0.04084464033509967,2.2091830811425914e-05,0.0002945152747040343
hold,0.1568943381649573,0.0005432814153679326,0.01365826799552282
honour,-0.5742717218631849,0.004367133005781335,0.06996756766121767
horatio,0.49037110714998705,0.006103204093249731,0.06570355113321122
indeed,-0.5234570040456511,0.007861685903924399,0.22294850284649617
keep,0.24947146806751802,0.0010301805231670144,0.014398820991590268
king,-0.1233513506442292,0.0011585565031502147,0.017243481584237955
know,-0.06599512911062047,0.00030279215948357817,0.00556978020918411
lady,0.36186779267544406,0.0018785533145289058,0.042413905081081775
laertes,0.43470862943162536,0.005004815532507708,0.04824268198952017
last,-0.26695335867972325,0.0009436964794511848,0.009326656854310203
leave,-0.10758244760598024,0.00022989824537500585,0.003921030127498797
let,0.2745812258711337,0.006572779767054849,0.10149364313241102
life,0.2996286351354611,0.002674919435988885,0.0446143412858382
like,0.09581778283685989,0.0006686771463827857,0.010859455038927653
little,-0.04968573313023434,3.8139215059313174e-05,0.001114866062914407
long,0.16236573297431434,0.00043637546450121854,0.003327801730470032
look,0.07515679470329298,0.00019323175752462328,0.004371562399452043
lord,-1.7707963484044424,0.5640338259902368,0.8686105546926967
love,-0.01881974016870703,1.7978994026882836e-05,0.00026751227478475525
mad,0.05602081148871799,7.272745594618319e-05,0.0005805271481379882
madam,0.19069186260728088,0.0004414050697628871,0.00430737276439586
made,-0.5240712337619416,0.006061651301015269,0.10680365089247977
madness,-0.08819891848775922,0.00018027110651028269,0.001981446501718531
majesty,-0.3193725485435589,0.0012381354636517164,0.012399848260082983
make,0.20725647158706906,0.0019434813055825989,0.035419468966410024
makes,0.12534565560216862,0.00024273193515102567,0.004513252126518259
man,0.3501526129112624,0.00622376068470188,0.08974881968723873
many,-0.5224238780513624,0.0039153419712494985,0.06859045225614344
matter,-0.03744818710535715,2.9403261556926633e-05,0.00046482379431643994
may,0.2925587317207386,0.004722548684764986,0.07023950077918586
means,-0.5268121492136932,0.005512700258875133,0.08922815113840393
men,-0.04127704425861222,2.0681887785694857e-05,0.00039053076759108427
might,-0.08533006947498926,0.00022497928902976723,0.0030666400850968474
mind,-0.6424530021895396,0.005010207597543203,0.08025567900804993
mine,0.2231953069204723,0.0013193550052734112,0.0330012395301527
mother,0.07317046477166166,0.00025405069834554726,0.0026740934577743143
much,-0.052802497998053456,0.00010768551566952371,0.0013980901115674107
murder,0.48219173012566463,0.0028223606648892906,0.048240832085856056
must,0.2533071991537435,0.003540343329272272,0.06339865913557789
nature,0.4567133167100254,0.004833780824876387,0.08184719756481337
nay,-0.4293268113705559,0.004271452948127836,0.10529793225360445
never,0.10461568483219266,0.00019323860675956483,0.0035150813652964534
night,-0.23430020619912517,0.0015144873859526075,0.011067982922821042
noble,-0.4076139658761584,0.0027502342133975803,0.044244352967818076
nothing,0.17486780860650536,0.0007423739538138731,0.017546800145689743
old,0.13978431090242516,0.000258748842655027,0.002705346329241968
one,0.21303141730378475,0.0019531348566330354,0.040669580640650765
ophelia,0.40642393568896223,0.0030987588905354623,0.04522126685421281
part,0.07430790598626222,8.530576693131144e-05,0.002090399568510554
play,-0.05036605492299151,7.83816156184994e-05,0.0015411530750386762
