,aimer,rue,justice,guerre
0,Dahlia-Fameuil (1.12),Courfeyrac-Toussaint (0.79),Azelma-Babet (1.09),Combeferre-Fauchelevent (1.35)
1,Dahlia-Listolier (1.12),Courfeyrac-Fauchelevent (0.79),Azelma-Brujon (1.09),Feuilly-Valjean (1.27)
2,Fameuil-Zéphine (1.12),Eponine-Fauchelevent (0.79),Azelma-Claquesous (1.09),Feuilly-Marius (1.22)
3,Listolier-Zéphine (1.12),Eponine-Gavroche (0.79),Azelma-Magnon (1.09),Lesgle-Valjean (1.15)
4,Gillenormand-Toussaint (1.11),Eponine-Pontmercy (0.79),Azelma-Montparnasse (1.09),Mabeuf-Valjean (1.15)
5,Bahorel-Javert (-0.54),Brevet-Gervais (-0.41),Grantaire-Innocente (-0.57),Javert-Simplice (-0.6)
6,Brujon-Gavroche (-0.45),Chenildieu-Gervais (-0.41),Innocente (-0.57),Myriel-Valjean (-0.56)
7,Brujon-Grantaire (-0.45),Cochepaille-Gervais (-0.41),Bougon-Valjean (-0.49),Baptistine-Myriel (-0.56)
8,Gavroche-Gueulemer (-0.45),Brevet-Chenildieu (-0.38),Dahlia-Listolier (-0.46),Grantaire-Innocente (-0.55)
9,Grantaire-Gueulemer (-0.45),Brevet-Cochepaille (-0.38),Fameuil-Zéphine (-0.46),Innocente (-0.55)
