,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,poupée (1.99),noce (1.32),fauteuil (0.88),baron (1.24),maire (0.52),baron (1.4),mouchard (1.79),mouchard (1.81),conventionnel (5.28),chandelier (6.19)
1,sabot (0.95),baron (1.18),baron (0.82),assassin (0.79),assassin (0.52),assassin (1.18),préfecture (1.52),maire (1.71),évêque (3.81),couvert (5.07)
2,voyageur (0.81),mariage (1.05),glace (0.8),théodule (0.78),forçat (0.51),prisonnier (1.11),maire (1.5),préfecture (1.62),hôpital (3.25),gendarme (4.94)
3,noce (0.69),fauteuil (0.96),plumet (0.67),ursule (0.72),preuve (0.47),ursule (0.98),agent (1.35),preuve (1.26),oratoire (2.71),panier (4.36)
4,crainte (0.64),glace (0.96),noce (0.64),écriture (0.65),gervai (0.47),alouette (0.96),police (1.11),agent (1.18),curé (2.56),évêque (4.14)
5,infanterie (-0.59),cuirassier (-0.59),cuirassier (-0.58),division (-0.48),infanterie (-0.54),cuirassier (-0.52),infanterie (-0.57),infanterie (-0.58),cuirassier (-0.64),blücher (-0.78)
6,cuirassier (-0.59),escadron (-0.58),infanterie (-0.58),wellington (-0.47),cuirassier (-0.53),wellington (-0.51),cuirassier (-0.53),cuirassier (-0.54),infanterie (-0.61),charte (-0.76)
7,wellington (-0.57),brigade (-0.58),wellington (-0.56),cuirassier (-0.47),wellington (-0.52),infanterie (-0.5),brigade (-0.52),brigade (-0.53),assaillant (-0.57),artillerie (-0.72)
8,blücher (-0.55),batterie (-0.56),brigade (-0.53),infanterie (-0.47),blücher (-0.49),hougomont (-0.49),hougomont (-0.51),hougomont (-0.52),bayonnette (-0.55),infanterie (-0.68)
9,brigade (-0.54),division (-0.56),batterie (-0.53),plateau (-0.46),brigade (-0.48),brigade (-0.49),wellington (-0.51),wellington (-0.52),batterie (-0.54),émeute (-0.67)
