aimer,rue,justice,guerre
Cosette-Marius (0.35),Courfeyrac (0.37),Javert-Valjean (0.37),Grantaire-Pontmercy (0.94)
Myriel (0.31),Grantaire-Prouvaire (0.29),Champmathieu-Valjean (0.37),Grantaire (0.56)
Basque-Fauchelevent (0.25),Cosette-Javert (0.26),Myriel (0.21),Marius-Pontmercy (0.55)
Myriel-Valjean (0.22),Marius-Prouvaire (0.22),Grantaire (0.18),Pontmercy (0.55)
Fauchelevent-Gillenormand (0.21),Enjolras (0.22),Grantaire-Javert (0.16),Enjolras (0.49)
Enjolras (-0.2),Courfeyrac-Marius (-0.29),Champmathieu-Grantaire (-0.53),Gillenormand-Pontmercy (-0.85)
Basque-Nicolette (-0.17),Myriel (-0.24),Fantine-Gervais (-0.32),Pontmercy-Valjean (-0.73)
Grantaire (-0.15),Fauchelevent-Javert (-0.23),Gervais-Grantaire (-0.32),Monsieur Thénardier-Pontmercy (-0.56)
Magloire-Myriel (-0.14),Cosette-Marius (-0.19),Cosette (-0.22),Gillenormand-Grantaire (-0.45)
Mabeuf-Pontmercy (-0.14),Courfeyrac-Valjean (-0.15),Fantine-Grantaire (-0.19),Grantaire-Valjean (-0.45)
