,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,seau (1.23),amant (0.83),blessure (0.78),jondrette (1.76),matelas (1.02),égout (1.1),arras (1.09),accusé (1.04),conventionnel (2.99),deuil (1.14)
1,poupée (0.86),mariage (0.73),noce (0.76),réchaud (1.26),chandelier (0.87),vase (1.08),roue (0.89),nier (0.79),évêque (1.76),chandelier (1.07)
2,ravissant (0.7),entraîner (0.7),file (0.6),galetas (1.11),toulon (0.82),issue (1.07),bonjour (0.83),quai (0.54),cathédrale (1.14),aveugle (1.01)
3,source (0.65),noce (0.67),corbillard (0.58),bouge (1.05),fossoyeur (0.79),sable (1.0),malle (0.8),avocat (0.53),prêtre (1.11),panier (0.94)
4,rassurer (0.61),volupté (0.63),mestienne (0.58),tableau (0.93),pelle (0.76),couloir (0.98),cabriolet (0.76),fonction (0.5),philosophie (1.06),gendarme (0.89)
5,cuirassier (-0.79),jondrette (-1.17),seau (-0.89),cuirassier (-1.34),cuirassier (-1.4),matelas (-1.04),pelle (-0.37),arras (-1.21),cuirassier (-1.15),cathédrale (-0.42)
6,infanterie (-0.71),mestienne (-1.02),poupée (-0.57),infanterie (-1.07),sacrement (-1.34),mestienne (-0.84),cuirassier (-0.35),cabriolet (-1.05),infanterie (-0.97),nomme (-0.29)
7,division (-0.6),tableau (-0.93),portefeuille (-0.56),plateau (-1.05),infanterie (-1.22),fossoyeur (-0.83),infanterie (-0.35),roue (-1.04),batterie (-0.87),fabrique (-0.28)
8,wellington (-0.6),réchaud (-0.85),voûte (-0.55),division (-1.04),wellington (-1.04),pelle (-0.71),fossoyeur (-0.33),malle (-0.9),division (-0.79),conventionnel (-0.26)
9,brigade (-0.59),corbillard (-0.81),source (-0.54),batterie (-1.02),division (-1.01),chandelier (-0.71),division (-0.32),mestienne (-0.86),brigade (-0.79),souper (-0.26)
