,T1,T2,T3,T4,T5,Cosette_1,Cosette-Valjean_1,Valjean_1,Javert_1,Javert-Valjean_1,Myriel_1,Myriel-Valjean_1,Cosette_2,Cosette-Valjean_2,Valjean_2,Javert_2,Javert-Valjean_2,Marius_3,Valjean_3,Marius-Valjean_3,Javert_3,Cosette_4,Cosette-Marius_4,Cosette-Valjean_4,Marius_4,Valjean_4,Marius-Valjean_4,Javert_4,Cosette_5,Cosette-Marius_5,Cosette-Valjean_5,Marius_5,Valjean_5,Marius-Valjean_5,Javert_5,Javert-Valjean_5
0,arras (1.02),cuirassier (1.6),jondrette (1.3),argot (0.8),égout (1.15),religieuse (2.04),religieuse (2.78),accusé (2.04),accusé (3.47),accusé (4.01),conventionnel (5.03),chandelier (6.28),mestienne (2.57),mestienne (4.54),mestienne (4.97),cul (2.58),cul (2.58),jondrette (1.77),ursule (3.52),ursule (3.52),bonjour (11.5),plumet (1.46),plumet (1.66),babylone (1.92),plumet (1.17),babylone (1.78),écriture (2.23),poteau (3.1),noce (2.53),noce (2.59),noce (2.91),noce (1.58),noce (1.68),noce (2.0),baron (2.19),baron (2.45)
1,accusé (1.01),wellington (1.59),vernon (1.12),hucheloup (0.77),cloaque (0.96),maire (1.63),maire (2.27),gervai (1.53),arras (2.72),avocat (2.47),évêque (3.54),gendarme (5.06),poupée (2.32),corbillard (3.42),fossoyeur (4.5),mr (2.21),mr (2.21),vernon (1.5),tableau (3.38),tableau (3.38),bandit (8.61),babylone (1.44),lancier (1.61),plumet (1.5),amant (0.84),plumet (1.43),luxembourg (2.14),municipal (2.37),marié (1.81),marié (1.85),marié (2.08),marié (1.08),marié (1.15),marié (1.39),assassin (1.99),assassin (2.2)
2,maire (0.93),infanterie (1.58),théodule (1.11),émeute (0.68),noce (0.88),médecin (1.62),médecin (2.22),maire (1.53),avocat (2.17),président (2.44),oratoire (3.39),panier (4.72),corbillard (1.88),fossoyeur (3.17),corbillard (3.68),picpus (1.87),picpus (1.87),réchaud (1.46),jondrette (2.87),jondrette (2.87),agent (7.12),luxembourg (1.08),amant (1.43),luxembourg (1.31),volupté (0.84),luxembourg (1.21),plumet (1.94),mouchard (2.37),mariage (1.73),mariage (1.77),mariage (1.94),mariage (1.08),mariage (1.12),mariage (1.33),preuve (1.48),preuve (1.65)
3,évêque (0.92),brigade (1.49),réchaud (1.07),éléphant (0.62),sable (0.87),gargote (1.59),maladie (2.11),président (1.4),président (2.14),maire (1.97),hôpital (2.57),couvert (4.64),fossoyeur (1.82),cimetière (2.81),cimetière (3.3),mendiant (1.6),mendiant (1.6),théodule (1.42),réchaud (1.95),réchaud (1.95),bouge (6.33),ravissant (1.05),volupté (1.38),miroir (1.17),lancier (0.82),miroir (1.09),armé (1.84),lier (2.18),baron (1.37),baron (1.41),baron (1.56),calvaire (0.86),calvaire (0.97),baron (1.07),écriture (1.2),écriture (1.35)
4,conventionnel (0.88),mestienne (1.48),tableau (0.99),torche (0.61),berge (0.86),maladie (1.55),soeur (1.91),avocat (1.32),maire (1.83),nier (1.67),cathédrale (2.54),deuil (4.52),seau (1.81),bière (2.3),bière (3.0),préfecture (1.53),préfecture (1.53),tableau (1.37),luxembourg (1.83),luxembourg (1.83),croisé (4.84),lancier (0.94),luxembourg (1.32),promenade (1.09),luxembourg (0.82),promenade (1.01),miroir (1.74),alouette (1.83),marier (1.33),marier (1.36),mardi (1.48),baron (0.86),filles (0.95),mardi (1.0),berge (1.15),berge (1.29)
5,infanterie (-0.55),théodule (-0.36),infanterie (-0.42),sacrement (-0.38),mlle (-0.45),cuirassier (-0.69),infanterie (-0.73),infanterie (-0.6),hucheloup (-0.61),hucheloup (-0.62),infanterie (-0.57),blücher (-0.85),infanterie (-0.59),infanterie (-0.6),infanterie (-0.61),cuirassier (-0.57),cuirassier (-0.57),cloaque (-0.42),wellington (-0.61),wellington (-0.61),philosophie (-0.83),infanterie (-0.62),infanterie (-0.61),infanterie (-0.6),division (-0.51),infanterie (-0.59),hougomont (-0.63),mlle (-0.65),brigade (-0.54),brigade (-0.54),brigade (-0.55),blücher (-0.42),wellington (-0.46),wellington (-0.48),pensionnaire (-0.51),pensionnaire (-0.51)
6,cuirassier (-0.54),argot (-0.35),batterie (-0.41),oratoire (-0.37),prieur (-0.38),infanterie (-0.69),cuirassier (-0.7),cuirassier (-0.59),infanterie (-0.55),infanterie (-0.59),cuirassier (-0.56),infanterie (-0.78),wellington (-0.57),wellington (-0.58),wellington (-0.58),infanterie (-0.55),infanterie (-0.55),égout (-0.42),sacrement (-0.58),sacrement (-0.58),infini (-0.82),cuirassier (-0.55),hougomont (-0.59),cuirassier (-0.56),brigade (-0.49),cuirassier (-0.57),cuirassier (-0.56),charte (-0.58),hougomont (-0.53),hougomont (-0.53),cuirassier (-0.55),wellington (-0.41),brigade (-0.45),blücher (-0.47),sacrement (-0.49),sacrement (-0.51)
7,wellington (-0.48),conventionnel (-0.33),cuirassier (-0.39),infanterie (-0.37),pensionnaire (-0.38),division (-0.63),division (-0.65),wellington (-0.57),cuirassier (-0.53),cuirassier (-0.58),bayonnette (-0.56),charte (-0.77),cuirassier (-0.55),cuirassier (-0.58),cuirassier (-0.57),blücher (-0.53),blücher (-0.53),souterrain (-0.41),cuirassier (-0.58),cuirassier (-0.58),royauté (-0.81),blücher (-0.53),brigade (-0.57),blücher (-0.56),plateau (-0.48),blücher (-0.57),oratoire (-0.55),historien (-0.57),cuirassier (-0.53),cuirassier (-0.52),hougomont (-0.54),charte (-0.39),blücher (-0.45),brigade (-0.46),mlle (-0.48),hougomont (-0.5)
8,batterie (-0.48),accusé (-0.32),crête (-0.39),brigade (-0.37),oratoire (-0.34),batterie (-0.62),batterie (-0.65),hucheloup (-0.55),corinthe (-0.52),brigade (-0.58),assaillant (-0.56),prussien (-0.76),blücher (-0.53),blücher (-0.53),historien (-0.54),wellington (-0.53),wellington (-0.53),voûte (-0.41),division (-0.57),division (-0.57),sagesse (-0.81),historien (-0.52),division (-0.57),historien (-0.53),infanterie (-0.48),historien (-0.53),infanterie (-0.53),sacrement (-0.53),wellington (-0.52),wellington (-0.52),infanterie (-0.53),guide (-0.39),hougomont (-0.44),escadron (-0.45),hougomont (-0.47),brigade (-0.47)
9,bataillon (-0.48),révolte (-0.32),bayonnette (-0.38),cuirassier (-0.37),archevêque (-0.34),cavalerie (-0.61),brigade (-0.63),hougomont (-0.54),wellington (-0.52),wellington (-0.58),municipal (-0.54),berge (-0.74),insurrection (-0.48),historien (-0.53),blücher (-0.54),angleterre (-0.48),angleterre (-0.48),batterie (-0.4),historien (-0.56),historien (-0.56),historien (-0.78),wellington (-0.52),cuirassier (-0.54),wellington (-0.52),cuirassier (-0.47),wellington (-0.52),éléphant (-0.52),blücher (-0.53),division (-0.52),division (-0.52),wellington (-0.53),brigade (-0.39),infanterie (-0.43),hougomont (-0.45),brigade (-0.46),mlle (-0.46)
