aimer,rue,justice,guerre
Cosette-Marius (0.38),Grantaire-Prouvaire (0.57),Azelma-Babet (0.34),Grantaire (0.32)
Fantine-Marius (0.34),Marius-Prouvaire (0.54),Azelma-Brujon (0.34),Combeferre-Lesgle (0.32)
Fantine-Pontmercy (0.34),Cosette-Javert (0.43),Azelma-Claquesous (0.34),Feuilly-Lesgle (0.25)
Basque-Fauchelevent (0.34),Magnon-Monsieur Thénardier (0.37),Azelma-Magnon (0.34),Combeferre-Marius (0.25)
Prouvaire-Valjean (0.33),Gavroche (0.36),Azelma-Montparnasse (0.34),Combeferre-Grantaire (0.25)
Grantaire (-0.24),Fantine (-0.5),Cosette (-0.24),Monsieur Thénardier (-0.28)
Combeferre-Gavroche (-0.2),Gervais (-0.45),Basque-Marius (-0.23),Basque-Grantaire (-0.26)
Enjolras-Gavroche (-0.2),Gervais-Valjean (-0.45),Nicolette-Valjean (-0.23),Azelma-Cosette (-0.26)
Feuilly-Marius (-0.2),Fantine-Gervais (-0.44),Marius-Nicolette (-0.22),Monsieur Thénardier-Valjean (-0.26)
Feuilly-Mabeuf (-0.18),Gervais-Grantaire (-0.44),Basque-Grantaire (-0.21),Basque-Toussaint (-0.26)
