,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,jean (0.34),aimer (0.38),jean (0.6),embrasser (0.36),jean (0.56),jean (0.35),saisir (0.34),jean (0.54),évêque (0.59),évêque (0.55)
1,dormir (0.28),rêver (0.34),jacques (0.3),essayer (0.36),habiller (0.27),questionner (0.31),jean (0.34),denis (0.31),archevêque (0.52),archevêque (0.46)
2,regarder (0.26),vouloir (0.32),philippe (0.26),avouer (0.36),poser (0.26),essayer (0.31),placer (0.31),jacques (0.3),prêtre (0.45),prêtre (0.42)
3,habiller (0.26),douter (0.32),habiller (0.26),vouloir (0.35),jacques (0.26),oser (0.31),retirer (0.29),saisir (0.3),abbé (0.39),âme (0.42)
4,voir (0.25),avouer (0.32),pantalon (0.25),voir (0.35),pantalon (0.25),poser (0.29),dégager (0.29),philippe (0.28),souverain (0.38),abbé (0.39)
5,armée (-0.42),muraille (-0.39),armée (-0.37),faubourg (-0.38),nation (-0.35),peuple (-0.37),gai (-0.31),an (-0.28),rue (-0.31),pente (-0.26)
6,cavalerie (-0.37),barricade (-0.36),nation (-0.33),village (-0.36),armée (-0.35),roi (-0.37),riche (-0.3),riche (-0.27),jambe (-0.29),grille (-0.23)
7,insurrection (-0.36),colonne (-0.36),insurrection (-0.32),temple (-0.35),insurrection (-0.33),armée (-0.33),an (-0.29),fête (-0.25),ruelle (-0.29),barricade (-0.23)
8,nation (-0.35),berge (-0.35),cavalerie (-0.29),ville (-0.34),empereur (-0.33),empereur (-0.32),roi (-0.28),gai (-0.24),coude (-0.27),coude (-0.22)
9,monarchie (-0.34),colline (-0.34),race (-0.29),bâtiment (-0.33),peuple (-0.33),empire (-0.32),joyeux (-0.27),joyeux (-0.23),poing (-0.27),pied (-0.22)
