aimer,rue,justice,guerre
Prouvaire-Valjean (0.34),Grantaire-Prouvaire (0.8),Champmathieu-Valjean (0.38),Grantaire-Pontmercy (0.39)
Champmathieu-Chenildieu (0.31),Marius-Prouvaire (0.77),Azelma-Brujon (0.35),Enjolras-Marius (0.35)
Brevet-Chenildieu (0.31),Courfeyrac (0.66),Azelma-Claquesous (0.35),Grantaire (0.31)
Brevet-Cochepaille (0.31),Cosette-Javert (0.64),Azelma-Magnon (0.35),Combeferre-Lesgle (0.31)
Champmathieu-Cochepaille (0.31),Prouvaire (0.63),Azelma-Montparnasse (0.35),Cosette-Gavroche (0.27)
Feuilly-Lesgle (-0.3),Courfeyrac-Marius (-0.68),Champmathieu-Grantaire (-0.34),Feuilly-Prouvaire (-0.37)
Grantaire (-0.29),Fauchelevent-Javert (-0.67),Grantaire-Mabeuf (-0.32),Enjolras-Joly (-0.33)
Combeferre-Lesgle (-0.29),Courfeyrac-Prouvaire (-0.6),Babet (-0.29),Bahorel-Feuilly (-0.3)
Blachevelle-Zéphine (-0.28),Bahorel-Combeferre (-0.59),Babet-Montparnasse (-0.29),Gavroche-Grantaire (-0.29)
Dahlia-Fantine (-0.28),Nicolette-Toussaint (-0.59),Babet-Gavroche (-0.29),Marius (-0.28)
