,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,contempler (0.29),éternel (0.35),rue (0.44),regarder (0.38),jean (0.56),rue (0.35),serrer (0.34),rue (0.35),évêque (0.43),ange (0.37)
1,emplir (0.29),amour (0.35),jean (0.41),voir (0.36),pantalon (0.28),boulevard (0.35),glisser (0.34),boulevard (0.34),divin (0.4),évêque (0.31)
2,doucement (0.27),humanité (0.34),faubourg (0.41),refermer (0.34),jacques (0.26),souterrain (0.35),forcer (0.34),autorité (0.33),humble (0.39),âme (0.31)
3,envelopper (0.26),âme (0.32),boulevard (0.41),glisser (0.34),philippe (0.23),bastille (0.35),bouger (0.33),civil (0.33),bonté (0.38),amour (0.29)
4,illuminer (0.26),vérité (0.32),quartier (0.34),poser (0.31),glisser (0.23),carrefour (0.34),aller (0.32),loi (0.33),archevêque (0.37),aurore (0.28)
5,préfet (-0.37),rue (-0.42),absorber (-0.29),république (-0.38),patrie (-0.35),réveiller (-0.33),roi (-0.33),dormir (-0.35),rue (-0.36),système (-0.28)
6,historien (-0.37),ruelle (-0.42),appuyer (-0.28),roi (-0.37),nation (-0.33),endormir (-0.32),dieu (-0.31),aller (-0.33),ruelle (-0.32),long (-0.26)
7,militaire (-0.36),couloir (-0.38),lâcher (-0.28),empire (-0.36),noble (-0.32),pleurer (-0.32),gai (-0.31),repartir (-0.32),fenêtre (-0.28),terme (-0.26)
8,lieutenant (-0.36),mur (-0.38),hésiter (-0.27),peuple (-0.36),souverain (-0.32),dormir (-0.31),éternel (-0.3),emmener (-0.29),portière (-0.28),situation (-0.25)
9,gouvernement (-0.35),chaussée (-0.35),arrêter (-0.27),empereur (-0.36),mère (-0.32),écouter (-0.28),père (-0.3),réveiller (-0.29),pantalon (-0.28),logique (-0.25)
