Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
noce (1.2),accusé (1.47),accusé (1.85),conventionnel (5.03),chandelier (6.28)
mariage (0.85),arras (1.04),avocat (1.12),évêque (3.54),gendarme (5.06)
ursule (0.85),mouchard (0.97),preuve (1.1),oratoire (3.39),panier (4.72)
marié (0.8),avocat (0.96),président (1.08),hôpital (2.57),couvert (4.64)
tableau (0.74),preuve (0.93),forçat (1.01),cathédrale (2.54),deuil (4.52)
wellington (-0.5),infanterie (-0.51),infanterie (-0.53),infanterie (-0.57),blücher (-0.85)
hougomont (-0.49),wellington (-0.49),cuirassier (-0.52),cuirassier (-0.56),infanterie (-0.78)
cuirassier (-0.48),cuirassier (-0.49),wellington (-0.51),bayonnette (-0.56),charte (-0.77)
blücher (-0.48),brigade (-0.47),brigade (-0.5),assaillant (-0.56),prussien (-0.76)
brigade (-0.48),division (-0.45),hougomont (-0.47),municipal (-0.54),berge (-0.74)
