,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean
0,ravissant (0.07),volupté (0.06),file (0.06),réchaud (0.09),tableau (0.06)
1,robe (0.06),amant (0.06),mardi (0.05),jondrette (0.09),toulon (0.06)
2,ineffable (0.05),entraîner (0.05),blessure (0.04),ursule (0.07),gervai (0.06)
3,laide (0.05),angleterre (0.05),aube (0.04),bouge (0.06),maire (0.04)
4,poêle (0.05),adorer (0.05),personnel (0.04),adresse (0.06),couloir (0.04)
5,mardi (-0.04),réchaud (-0.08),couloir (-0.08),cuirassier (-0.05),cuirassier (-0.05)
6,cuirassier (-0.04),jondrette (-0.07),galerie (-0.07),infanterie (-0.05),infanterie (-0.05)
7,infanterie (-0.04),laide (-0.06),tableau (-0.07),division (-0.04),blücher (-0.05)
8,blücher (-0.04),couloir (-0.06),voûte (-0.07),batterie (-0.04),wellington (-0.04)
9,plateau (-0.04),poêle (-0.06),égout (-0.07),plateau (-0.04),sacrement (-0.04)
