,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,vase (0.1),agent (0.06),préfecture (0.07),conventionnel (0.46),chandelier (0.09)
1,couloir (0.1),bonjour (0.06),note (0.06),évêque (0.25),panier (0.08)
2,galerie (0.09),bandit (0.06),picpus (0.05),hôpital (0.2),gendarme (0.08)
3,égout (0.09),quai (0.05),cul (0.05),palais (0.17),couvert (0.06)
4,voûte (0.09),supérieur (0.05),mouchard (0.05),curé (0.16),deuil (0.04)
5,matelas (-0.05),religieuse (-0.03),bonjour (-0.08),cuirassier (-0.09),hôpital (-0.04)
6,aubergiste (-0.04),picpus (-0.03),bandit (-0.07),infanterie (-0.08),portrait (-0.03)
7,volupté (-0.04),cul (-0.02),tableau (-0.07),batterie (-0.07),rez (-0.02)
8,posséder (-0.04),allon (-0.02),bouge (-0.06),hougomont (-0.06),charité (-0.02)
9,tabac (-0.04),portière (-0.02),marteau (-0.05),brigade (-0.06),livre (-0.02)
