T1,T2,T3,T4,T5
arras (1.02),cuirassier (1.6),jondrette (1.3),argot (0.8),égout (1.15)
accusé (1.01),wellington (1.59),vernon (1.12),hucheloup (0.77),cloaque (0.96)
maire (0.93),infanterie (1.58),théodule (1.11),émeute (0.68),noce (0.88)
évêque (0.92),brigade (1.49),réchaud (1.07),éléphant (0.62),sable (0.87)
conventionnel (0.88),mestienne (1.48),tableau (0.99),torche (0.61),berge (0.86)
infanterie (-0.55),théodule (-0.36),infanterie (-0.42),sacrement (-0.38),mlle (-0.45)
cuirassier (-0.54),argot (-0.35),batterie (-0.41),oratoire (-0.37),prieur (-0.38)
wellington (-0.48),conventionnel (-0.33),cuirassier (-0.39),infanterie (-0.37),pensionnaire (-0.38)
batterie (-0.48),accusé (-0.32),crête (-0.39),brigade (-0.37),oratoire (-0.34)
bataillon (-0.48),révolte (-0.32),bayonnette (-0.38),cuirassier (-0.37),archevêque (-0.34)
