T1,T2,T3,T4,T5
huissier (1.4),cuirassier (3.38),gamin (1.92),émeute (1.48),sable (3.04)
hôte (1.11),infanterie (2.9),mine (1.38),révolte (0.86),berge (2.32)
arras (0.92),sacrement (2.69),farce (0.81),bourgeoisie (0.84),égout (2.16)
lampe (0.91),brigade (2.41),ignorance (0.74),populaire (0.82),voûte (1.9)
montreuil (0.81),division (2.4),jondrette (0.7),insurrection (0.81),vase (1.89)
cuirassier (-0.95),sable (-0.79),cuirassier (-1.02),sable (-0.76),sacrement (-0.7)
infanterie (-0.86),gamin (-0.71),infanterie (-0.92),sacrement (-0.76),cuirassier (-0.67)
sable (-0.83),cloaque (-0.69),batterie (-0.75),cuirassier (-0.73),office (-0.53)
batterie (-0.73),souterrain (-0.66),division (-0.74),berge (-0.62),infanterie (-0.51)
division (-0.73),égout (-0.66),plateau (-0.73),infanterie (-0.62),plateau (-0.49)
