Valjean_1,Valjean_2,Valjean_3,Valjean_4,Valjean_5
chandelier (1.03),pelle (2.6),ursule (1.49),réverbère (0.98),matelas (2.54)
toulon (0.8),fossoyeur (2.35),luxembourg (1.06),hausser (0.45),ronde (1.96)
gervai (0.73),pioche (1.51),tableau (0.93),promenade (0.37),galerie (1.06)
bagne (0.65),carte (1.39),banc (0.81),lanterne (0.36),lanterne (0.99)
maire (0.57),mestienne (1.35),mouchoir (0.77),tuyau (0.35),rive (0.99)
hôte (-0.73),cuirassier (-1.79),réchaud (-0.43),volupté (-0.49),sable (-1.06)
élégant (-0.67),sacrement (-1.7),messe (-0.38),émeute (-0.46),grève (-0.86)
conventionnel (-0.61),infanterie (-1.54),bouge (-0.36),populaire (-0.4),insurrection (-0.6)
navire (-0.47),prieur (-1.33),allemand (-0.34),céleste (-0.39),cloaque (-0.54)
nomme (-0.41),division (-1.33),jacques (-0.26),juillet (-0.37),progrès (-0.49)
