Cosette_1,Cosette_2,Cosette_4,Cosette_5
gargote (0.59),seau (1.48),ravissant (1.11),encre (0.76)
balayer (0.57),poupée (0.99),céleste (0.76),plume (0.59)
alouette (0.56),source (0.84),volupté (0.67),noce (0.49)
servante (0.43),gargote (0.71),frémir (0.64),chandelier (0.48)
mois (0.34),mestienne (0.64),lancier (0.6),antichambre (0.47)
mensonge (-0.43),cuirassier (-1.8),émeute (-1.04),égout (-1.07)
mentir (-0.42),infanterie (-1.54),torche (-0.85),voûte (-1.0)
atelier (-0.38),pelle (-1.37),insurrection (-0.77),sable (-0.99)
intelligent (-0.28),sacrement (-1.34),merry (-0.7),galerie (-0.94)
blancheur (-0.21),division (-1.27),philippe (-0.68),couloir (-0.93)
