Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean
contempler (0.29),éternel (0.35),rue (0.44),regarder (0.38),jean (0.56)
emplir (0.29),amour (0.35),jean (0.41),voir (0.36),pantalon (0.28)
doucement (0.27),humanité (0.34),faubourg (0.41),refermer (0.34),jacques (0.26)
envelopper (0.26),âme (0.32),boulevard (0.41),glisser (0.34),philippe (0.23)
illuminer (0.26),vérité (0.32),quartier (0.34),poser (0.31),glisser (0.23)
préfet (-0.37),rue (-0.42),absorber (-0.29),république (-0.38),patrie (-0.35)
historien (-0.37),ruelle (-0.42),appuyer (-0.28),roi (-0.37),nation (-0.33)
militaire (-0.36),couloir (-0.38),lâcher (-0.28),empire (-0.36),noble (-0.32)
lieutenant (-0.36),mur (-0.38),hésiter (-0.27),peuple (-0.36),souverain (-0.32)
gouvernement (-0.35),chaussée (-0.35),arrêter (-0.27),empereur (-0.36),mère (-0.32)
