T1,T2,T3,T4,T5
demander (0.31),chapelle (0.45),jeune (0.37),rue (0.43),rue (0.36)
heureux (0.29),cloître (0.42),aîné (0.36),barricade (0.37),barricade (0.36)
expliquer (0.29),mont (0.4),garçon (0.36),émeute (0.33),égout (0.36)
vouloir (0.27),mur (0.4),père (0.34),révolte (0.31),chaussée (0.35)
aider (0.27),muraille (0.4),gamin (0.34),ruelle (0.3),boulevard (0.35)
rue (-0.52),émouvoir (-0.31),pierre (-0.34),an (-0.34),parent (-0.31)
boulevard (-0.46),mentir (-0.31),barricade (-0.33),évêque (-0.29),père (-0.3)
ruelle (-0.45),étonner (-0.31),rue (-0.32),mari (-0.28),enfant (-0.29)
barricade (-0.43),heureux (-0.31),croix (-0.3),prieur (-0.26),jeune (-0.28)
quai (-0.38),envie (-0.3),chapelle (-0.3),curé (-0.25),ami (-0.27)
