Valjean_1,Valjean_2,Valjean_3,Valjean_4,Valjean_5
demander (0.41),jean (0.6),regarder (0.39),jean (0.46),jean (0.68)
expliquer (0.38),rue (0.45),voir (0.38),habiller (0.23),pantalon (0.41)
accepter (0.35),ruelle (0.4),essayer (0.36),jacques (0.23),jacques (0.35)
vouloir (0.35),boulevard (0.39),aller (0.35),mardi (0.22),chemise (0.31)
comprendre (0.35),jacques (0.38),passer (0.34),journée (0.22),denis (0.3)
rue (-0.51),féroce (-0.31),empire (-0.36),peuple (-0.29),an (-0.27)
boulevard (-0.44),intelligence (-0.27),saint (-0.34),fer (-0.29),peuple (-0.27)
ruelle (-0.42),héroïque (-0.27),dieu (-0.32),armée (-0.28),nation (-0.26)
faubourg (-0.42),souverain (-0.27),peuple (-0.32),or (-0.27),souverain (-0.26)
barricade (-0.4),nation (-0.26),religion (-0.32),archevêque (-0.26),empereur (-0.25)
