Cosette_1,Cosette_2,Cosette_4,Cosette_5
pleurer (0.35),jean (0.42),aimer (0.31),jean (0.33)
demander (0.34),ruelle (0.4),tristesse (0.3),mentir (0.32)
voir (0.33),rue (0.4),rêver (0.29),marier (0.31)
rassurer (0.32),quai (0.31),envie (0.27),arranger (0.29)
apprendre (0.32),mur (0.3),découvrir (0.27),oser (0.29)
faubourg (-0.38),nation (-0.34),baron (-0.31),muraille (-0.38)
boulevard (-0.38),souverain (-0.33),fer (-0.31),colline (-0.37)
souterrain (-0.37),héroïque (-0.33),bandit (-0.29),berge (-0.36)
pont (-0.37),suprême (-0.32),comte (-0.28),barricade (-0.36)
barricade (-0.35),féroce (-0.31),gouvernement (-0.28),extrémité (-0.34)
