T1,T2,T3,T4,T5
demander (0.36),saint (0.39),gamin (0.45),violence (0.44),égout (0.52)
décider (0.3),mont (0.39),garçon (0.42),haine (0.42),quai (0.45)
aider (0.3),régiment (0.38),jeune (0.36),révolte (0.42),rue (0.44)
expliquer (0.29),chapelle (0.38),enfant (0.35),souffrance (0.4),eau (0.42)
plaindre (0.29),infanterie (0.36),père (0.34),étincelle (0.39),chaussée (0.42)
rue (-0.42),envie (-0.26),mer (-0.32),voisin (-0.26),père (-0.33)
boulevard (-0.4),émouvoir (-0.26),eau (-0.3),monsieur (-0.25),frère (-0.31)
souterrain (-0.4),soif (-0.24),route (-0.29),pont (-0.24),parent (-0.31)
faubourg (-0.38),heureux (-0.23),surface (-0.29),curé (-0.24),ami (-0.3)
barricade (-0.38),étonner (-0.23),bataille (-0.29),lit (-0.24),soeur (-0.3)
