Valjean_1,Valjean_2,Valjean_3,Valjean_4,Valjean_5
essayer (0.29),jean (0.54),admirer (0.32),jean (0.71),jean (0.72)
réfléchir (0.27),jacques (0.33),passer (0.31),jacques (0.41),pantalon (0.42)
expliquer (0.24),pantalon (0.29),observer (0.3),pantalon (0.36),jacques (0.39)
agir (0.24),mr (0.28),guetter (0.3),louis (0.34),philippe (0.34)
questionner (0.24),denis (0.28),croiser (0.3),philippe (0.33),denis (0.33)
rue (-0.36),empereur (-0.34),père (-0.36),humanité (-0.31),patrie (-0.28)
colline (-0.35),religieuse (-0.33),frère (-0.36),suprême (-0.29),peuple (-0.27)
galerie (-0.32),souverain (-0.33),pauvre (-0.31),intelligence (-0.28),humanité (-0.27)
palais (-0.31),armée (-0.3),patrie (-0.31),nation (-0.27),nation (-0.27)
cour (-0.31),suprême (-0.3),mère (-0.31),âme (-0.27),insurrection (-0.27)
