Cosette_1,Cosette_2,Cosette_4,Cosette_5
an (0.41),dormir (0.33),rêver (0.32),rêver (0.31)
mois (0.39),regarder (0.29),regarder (0.31),mentir (0.29)
mère (0.36),sentir (0.28),contempler (0.28),écrire (0.29)
fille (0.35),endormir (0.28),pleurer (0.27),demander (0.28)
enfant (0.33),respirer (0.28),lire (0.27),pleurer (0.28)
bâtiment (-0.28),militaire (-0.42),rue (-0.42),égout (-0.5)
voûte (-0.27),sergent (-0.36),émeute (-0.41),berge (-0.46)
oratoire (-0.27),colonel (-0.36),insurrection (-0.37),fosse (-0.4)
souterrain (-0.25),saint (-0.36),boulevard (-0.36),rive (-0.4)
champ (-0.25),lieutenant (-0.35),faubourg (-0.36),chaussée (-0.39)
