Cosette-Valjean_1,Cosette-Valjean_2,Cosette-Valjean_4,Cosette-Valjean_5
voir (0.32),rue (0.55),jean (0.52),mariage (0.42)
entendre (0.31),ruelle (0.48),pantalon (0.35),marié (0.4)
frissonner (0.3),boulevard (0.45),gilet (0.28),noce (0.4)
grommeler (0.3),mur (0.4),gris (0.27),gai (0.33)
essayer (0.3),faubourg (0.4),manteau (0.26),amour (0.3)
mère (-0.43),mr (-0.29),expression (-0.34),coude (-0.34)
épouse (-0.41),brave (-0.25),âme (-0.28),extrémité (-0.29)
père (-0.41),an (-0.23),humanité (-0.27),égout (-0.29)
veuve (-0.4),çà (-0.21),insurrection (-0.27),tâter (-0.28)
fille (-0.39),or (-0.2),puissance (-0.27),percer (-0.27)
